"","NAME","Category","Proportion"
"418","Oscoda","Walked",1.36396267049533
"419","Oscoda","Taxicab, motorcycle, bicycle, or other means",6.42498205312276
"420","Oscoda","Worked from home",12.0603015075377
"421","Otsego","Car, truck, or van - drove alone",75.7561015162572
"422","Otsego","Car, truck, or van - carpooled",11.7570745155274
"423","Otsego","Public transportation (excluding taxicab)",0.535149598637801
"424","Otsego","Walked",0.713532798183735
"425","Otsego","Taxicab, motorcycle, bicycle, or other means",1.05408254277143
"426","Otsego","Worked from home",10.1840590286224
"427","Ottawa","Car, truck, or van - drove alone",77.3819105012792
"428","Ottawa","Car, truck, or van - carpooled",8.0913962664154
"429","Ottawa","Public transportation (excluding taxicab)",0.446904710493427
"430","Ottawa","Walked",2.71872484934142
"431","Ottawa","Taxicab, motorcycle, bicycle, or other means",1.08225533112171
"432","Ottawa","Worked from home",10.2788083413488
"433","Presque Isle","Car, truck, or van - drove alone",74.9428155541693
"434","Presque Isle","Car, truck, or van - carpooled",8.96236223747141
"435","Presque Isle","Public transportation (excluding taxicab)",0.540652942399667
"436","Presque Isle","Walked",1.7051362029528
"437","Presque Isle","Taxicab, motorcycle, bicycle, or other means",3.47265543772094
"438","Presque Isle","Worked from home",10.3763776252859
"439","Roscommon","Car, truck, or van - drove alone",74.0560292326431
"440","Roscommon","Car, truck, or van - carpooled",12.4482338611449
"441","Roscommon","Public transportation (excluding taxicab)",0.280146163215591
"442","Roscommon","Walked",0.950060901339829
"443","Roscommon","Taxicab, motorcycle, bicycle, or other means",1.08404384896468
"444","Roscommon","Worked from home",11.1814859926918
"445","Saginaw","Car, truck, or van - drove alone",77.6783717289197
"446","Saginaw","Car, truck, or van - carpooled",8.69181639702776
"447","Saginaw","Public transportation (excluding taxicab)",0.310643902681478
"448","Saginaw","Walked",2.22918064564229
"449","Saginaw","Taxicab, motorcycle, bicycle, or other means",1.11583289843187
"450","Saginaw","Worked from home",9.9741544272969
"451","Sanilac","Car, truck, or van - drove alone",78.0104085661303
"452","Sanilac","Car, truck, or van - carpooled",9.15235987318299
"453","Sanilac","Public transportation (excluding taxicab)",0.305078662439433
